,Name,Publisher,Year_of_Release,Game_Age,Genre,Platform,Platform_Launch_Year,Game_released_xYears_after_Platform,Platform_Death,Years_since_Platform_Discontinued,Platform_Lifespan,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,Wii Sports,Nintendo,2006,10,Sports,Wii,2006,0,2016,0,10,41.36,28.96,3.77,8.45,82.53
1,Super Mario Bros.,Nintendo,1985,31,Platform,NES,1983,2,1995,21,12,29.08,3.58,6.81,0.77,40.24
2,Mario Kart Wii,Nintendo,2008,8,Racing,Wii,2006,2,2016,0,10,15.68,12.76,3.79,3.29,35.52
3,Wii Sports Resort,Nintendo,2009,7,Sports,Wii,2006,3,2016,0,10,15.61,10.93,3.28,2.95,32.77
4,Pokemon Red/Pokemon Blue,Nintendo,1996,20,Role-Playing,GB,1989,7,2003,13,14,11.27,8.89,10.22,1.0,31.37
5,Tetris,Nintendo,1989,27,Puzzle,GB,1989,0,2003,13,14,23.2,2.26,4.22,0.58,30.26
6,New Super Mario Bros.,Nintendo,2006,10,Platform,DS,2004,2,2013,3,9,11.28,9.14,6.5,2.88,29.8
7,Wii Play,Nintendo,2006,10,Misc,Wii,2006,0,2016,0,10,13.96,9.18,2.93,2.84,28.92
8,New Super Mario Bros. Wii,Nintendo,2009,7,Platform,Wii,2006,3,2016,0,10,14.44,6.94,4.7,2.24,28.32
9,Duck Hunt,Nintendo,1984,32,Shooter,NES,1983,1,1995,21,12,26.93,0.63,0.28,0.47,28.31
10,Nintendogs,Nintendo,2005,11,Simulation,DS,2004,1,2013,3,9,9.05,10.95,1.93,2.74,24.67
11,Mario Kart DS,Nintendo,2005,11,Racing,DS,2004,1,2013,3,9,9.71,7.47,4.13,1.9,23.21
12,Pokemon Gold/Pokemon Silver,Nintendo,1999,17,Role-Playing,GB,1989,10,2003,13,14,9.0,6.18,7.2,0.71,23.1
13,Wii Fit,Nintendo,2007,9,Sports,Wii,2006,1,2016,0,10,8.92,8.03,3.6,2.15,22.7
14,Kinect Adventures!,Microsoft Game Studios,2010,6,Misc,X360,2005,5,2016,0,11,15.0,4.89,0.24,1.69,21.81
15,Wii Fit Plus,Nintendo,2009,7,Sports,Wii,2006,3,2016,0,10,9.01,8.49,2.53,1.77,21.79
16,Grand Theft Auto V,Take-Two Interactive,2013,3,Action,PS3,2006,7,2016,0,10,7.02,9.09,0.98,3.96,21.04
17,Grand Theft Auto: San Andreas,Take-Two Interactive,2004,12,Action,PS2,2000,4,2013,3,13,9.43,0.4,0.41,10.57,20.81
18,Super Mario World,Nintendo,1990,26,Platform,SNES,1990,0,2003,13,13,12.78,3.75,3.54,0.55,20.61
19,Brain Age: Train Your Brain in Minutes a Day,Nintendo,2005,11,Misc,DS,2004,1,2013,3,9,4.74,9.2,4.16,2.04,20.15
20,Pokemon Diamond/Pokemon Pearl,Nintendo,2006,10,Role-Playing,DS,2004,2,2013,3,9,6.38,4.46,6.04,1.36,18.25
21,Super Mario Land,Nintendo,1989,27,Platform,GB,1989,0,2003,13,14,10.83,2.71,4.18,0.42,18.14
22,Super Mario Bros. 3,Nintendo,1988,28,Platform,NES,1983,5,1995,21,12,9.54,3.44,3.84,0.46,17.28
23,Grand Theft Auto V,Take-Two Interactive,2013,3,Action,X360,2005,8,2016,0,11,9.66,5.14,0.06,1.41,16.27
24,Grand Theft Auto: Vice City,Take-Two Interactive,2002,14,Action,PS2,2000,2,2013,3,13,8.41,5.49,0.47,1.78,16.15
25,Pokemon Ruby/Pokemon Sapphire,Nintendo,2002,14,Role-Playing,GBA,2001,1,2010,6,9,6.06,3.9,5.38,0.5,15.85
26,Brain Age 2: More Training in Minutes a Day,Nintendo,2005,11,Puzzle,DS,2004,1,2013,3,9,3.43,5.35,5.32,1.18,15.29
27,Pokemon Black/Pokemon White,Nintendo,2010,6,Role-Playing,DS,2004,6,2013,3,9,5.51,3.17,5.65,0.8,15.14
28,Gran Turismo 3: A-Spec,Sony Computer Entertainment,2001,15,Racing,PS2,2000,1,2013,3,13,6.85,5.09,1.87,1.16,14.98
29,Call of Duty: Modern Warfare 3,Activision,2011,5,Shooter,X360,2005,6,2016,0,11,9.04,4.24,0.13,1.32,14.73
30,Pokémon Yellow: Special Pikachu Edition,Nintendo,1998,18,Role-Playing,GB,1989,9,2003,13,14,5.89,5.04,3.12,0.59,14.64
31,Call of Duty: Black Ops 3,Activision,2015,1,Shooter,PS4,2013,2,2016,0,3,6.03,5.86,0.36,2.38,14.63
32,Call of Duty: Black Ops,Activision,2010,6,Shooter,X360,2005,5,2016,0,11,9.7,3.68,0.11,1.13,14.61
33,Pokemon X/Pokemon Y,Nintendo,2013,3,Role-Playing,3DS,2011,2,2016,0,5,5.28,4.19,4.35,0.78,14.6
34,Call of Duty: Black Ops II,Activision,2012,4,Shooter,PS3,2006,6,2016,0,10,4.99,5.73,0.65,2.42,13.79
35,Call of Duty: Black Ops II,Activision,2012,4,Shooter,X360,2005,7,2016,0,11,8.25,4.24,0.07,1.12,13.67
36,Call of Duty: Modern Warfare 2,Activision,2009,7,Shooter,X360,2005,4,2016,0,11,8.52,3.59,0.08,1.28,13.47
37,Call of Duty: Modern Warfare 3,Activision,2011,5,Shooter,PS3,2006,5,2016,0,10,5.54,5.73,0.49,1.57,13.32
38,Grand Theft Auto III,Take-Two Interactive,2001,15,Action,PS2,2000,1,2013,3,13,6.99,4.51,0.3,1.3,13.1
39,Super Smash Bros. Brawl,Nintendo,2008,8,Fighting,Wii,2006,2,2016,0,10,6.62,2.55,2.66,1.01,12.84
40,Mario Kart 7,Nintendo,2011,5,Racing,3DS,2011,0,2016,0,5,5.03,4.02,2.69,0.91,12.66
41,Call of Duty: Black Ops,Activision,2010,6,Shooter,PS3,2006,4,2016,0,10,5.99,4.37,0.48,1.79,12.63
42,Grand Theft Auto V,Take-Two Interactive,2014,2,Action,PS4,2013,1,2016,0,3,3.96,6.31,0.38,1.97,12.61
43,Animal Crossing: Wild World,Nintendo,2005,11,Simulation,DS,2004,1,2013,3,9,2.5,3.45,5.33,0.86,12.13
44,Halo 3,Microsoft Game Studios,2007,9,Shooter,X360,2005,2,2016,0,11,7.97,2.81,0.13,1.21,12.12
45,Super Mario 64,Nintendo,1996,20,Platform,N64,1996,0,2002,14,6,6.91,2.85,1.91,0.23,11.89
46,Pokemon HeartGold/Pokemon SoulSilver,Nintendo,2009,7,Action,DS,2004,5,2013,3,9,4.34,2.71,3.96,0.76,11.77
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,2014,2,Role-Playing,3DS,2011,3,2016,0,5,4.35,3.49,3.1,0.74,11.68
48,Gran Turismo 4,Sony Computer Entertainment,2004,12,Racing,PS2,2000,4,2013,3,13,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,Nintendo,2007,9,Platform,Wii,2006,1,2016,0,10,6.06,3.35,1.2,0.74,11.35
50,Super Mario Land 2: 6 Golden Coins,Nintendo,1992,24,Adventure,GB,1989,3,2003,13,14,6.16,2.04,2.69,0.29,11.18
51,Grand Theft Auto IV,Take-Two Interactive,2008,8,Action,X360,2005,3,2016,0,11,6.76,3.07,0.14,1.03,11.01
52,Gran Turismo,Sony Computer Entertainment,1997,19,Racing,PS,1994,3,2000,16,6,4.02,3.87,2.54,0.52,10.95
53,Super Mario 3D Land,Nintendo,2011,5,Platform,3DS,2011,0,2016,0,5,4.89,3.0,2.14,0.78,10.81
54,Gran Turismo 5,Sony Computer Entertainment,2010,6,Racing,PS3,2006,4,2016,0,10,2.96,4.82,0.81,2.11,10.7
55,Call of Duty: Modern Warfare 2,Activision,2009,7,Shooter,PS3,2006,3,2016,0,10,4.99,3.64,0.38,1.6,10.6
56,Super Mario All-Stars,Nintendo,1993,23,Platform,SNES,1990,3,2003,13,13,5.99,2.15,2.12,0.29,10.55
57,Grand Theft Auto IV,Take-Two Interactive,2008,8,Action,PS3,2006,2,2016,0,10,4.76,3.69,0.44,1.61,10.5
58,Pokemon FireRed/Pokemon LeafGreen,Nintendo,2004,12,Role-Playing,GBA,2001,3,2010,6,9,4.34,2.65,3.15,0.35,10.49
59,Super Mario 64,Nintendo,2004,12,Platform,DS,2004,0,2013,3,9,5.01,3.07,1.25,0.97,10.3
60,Call of Duty: Ghosts,Activision,2013,3,Shooter,X360,2005,8,2016,0,11,6.73,2.56,0.04,0.91,10.25
61,Just Dance 3,Ubisoft,2011,5,Misc,Wii,2006,5,2016,0,10,5.95,3.11,0.0,1.06,10.12
62,New Super Mario Bros. 2,Nintendo,2012,4,Platform,3DS,2011,1,2016,0,5,3.66,3.14,2.47,0.63,9.9
63,Mario Kart 64,Nintendo,1996,20,Racing,N64,1996,0,2002,14,6,5.55,1.94,2.23,0.15,9.87
64,Halo: Reach,Microsoft Game Studios,2010,6,Shooter,X360,2005,5,2016,0,11,7.04,1.95,0.08,0.79,9.86
65,Final Fantasy VII,Sony Computer Entertainment,1997,19,Role-Playing,PS,1994,3,2000,16,6,3.01,2.47,3.28,0.96,9.72
66,Halo 4,Microsoft Game Studios,2012,4,Shooter,X360,2005,7,2016,0,11,6.65,2.28,0.04,0.74,9.71
67,Gran Turismo 2,Sony Computer Entertainment,1999,17,Racing,PS,1994,5,2000,16,6,3.88,3.42,1.69,0.5,9.49
68,Just Dance 2,Ubisoft,2010,6,Misc,Wii,2006,4,2016,0,10,5.8,2.85,0.01,0.78,9.44
69,Call of Duty: Ghosts,Activision,2013,3,Shooter,PS3,2006,7,2016,0,10,4.1,3.63,0.38,1.25,9.36
70,Call of Duty 4: Modern Warfare,Activision,2007,9,Shooter,X360,2005,2,2016,0,11,5.93,2.36,0.13,0.9,9.31
71,Donkey Kong Country,Nintendo,1994,22,Platform,SNES,1990,4,2003,13,13,4.36,1.71,3.0,0.23,9.3
72,Minecraft,Microsoft Game Studios,2013,3,Misc,X360,2005,8,2016,0,11,5.7,2.65,0.02,0.81,9.18
73,Animal Crossing: New Leaf,Nintendo,2012,4,Simulation,3DS,2011,1,2016,0,5,2.03,2.36,4.39,0.39,9.16
74,Mario Party DS,Nintendo,2007,9,Misc,DS,2004,3,2013,3,9,4.4,1.85,1.98,0.68,8.91
75,The Elder Scrolls V: Skyrim,Other,2011,5,Role-Playing,X360,2005,6,2016,0,11,5.05,2.79,0.1,0.85,8.79
76,Super Mario Kart,Nintendo,1992,24,Racing,SNES,1990,2,2003,13,13,3.54,1.24,3.81,0.18,8.76
77,FIFA 16,Electronic Arts,2015,1,Sports,PS4,2013,2,2016,0,3,1.12,6.12,0.06,1.28,8.57
78,Halo 2,Microsoft Game Studios,2004,12,Shooter,XB,2001,3,2009,7,8,6.82,1.53,0.05,0.08,8.49
79,Wii Party,Nintendo,2010,6,Misc,Wii,2006,4,2016,0,10,1.75,3.47,2.49,0.67,8.38
80,Mario Party 8,Nintendo,2007,9,Misc,Wii,2006,1,2016,0,10,3.74,2.24,1.58,0.7,8.27
81,FIFA Soccer 13,Electronic Arts,2012,4,Action,PS3,2006,6,2016,0,10,1.06,5.01,0.13,1.97,8.16
82,GoldenEye 007,Nintendo,1997,19,Shooter,N64,1996,1,2002,14,6,5.8,2.01,0.13,0.15,8.09
83,Pokemon Black 2/Pokemon White 2,Nintendo,2012,4,Role-Playing,DS,2004,8,2013,3,9,2.79,1.72,3.14,0.41,8.07
84,Final Fantasy X,Sony Computer Entertainment,2001,15,Role-Playing,PS2,2000,1,2013,3,13,2.91,2.07,2.73,0.33,8.05
85,The Sims 3,Electronic Arts,2009,7,Simulation,PC,1977,32,2016,0,39,0.99,6.42,0.0,0.6,8.01
86,Mario & Sonic at the Olympic Games,Sega,2007,9,Sports,Wii,2006,1,2016,0,10,2.57,3.86,0.66,0.91,7.99
87,Star Wars Battlefront (2015),Electronic Arts,2015,1,Shooter,PS4,2013,2,2016,0,3,2.99,3.49,0.22,1.28,7.98
88,Final Fantasy VIII,Other,1999,17,Role-Playing,PS,1994,5,2000,16,6,2.28,1.72,3.63,0.23,7.86
89,Pac-Man,Atari,1982,34,Puzzle,2600,1977,5,1992,24,15,7.28,0.45,0.0,0.08,7.81
90,Pokémon Platinum Version,Nintendo,2008,8,Role-Playing,DS,2004,4,2013,3,9,2.76,1.72,2.69,0.54,7.72
91,Grand Theft Auto: Liberty City Stories,Take-Two Interactive,2005,11,Action,PSP,2004,1,2014,2,10,2.9,2.81,0.24,1.73,7.69
92,Call of Duty: Advanced Warfare,Activision,2014,2,Shooter,PS4,2013,1,2016,0,3,2.81,3.48,0.14,1.23,7.66
93,The Legend of Zelda: Ocarina of Time,Nintendo,1998,18,Action,N64,1996,2,2002,14,6,4.1,1.89,1.45,0.16,7.6
94,FIFA 17,Electronic Arts,2016,0,Sports,PS4,2013,3,2016,0,3,0.66,5.75,0.08,1.11,7.59
95,Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,1997,19,Platform,PS,1994,3,2000,16,6,3.78,2.17,1.31,0.31,7.58
96,Super Smash Bros. for Wii U and 3DS,Nintendo,2014,2,Fighting,3DS,2011,3,2016,0,5,3.27,1.37,2.43,0.48,7.55
97,Super Mario Galaxy 2,Nintendo,2010,6,Platform,Wii,2006,4,2016,0,10,3.56,2.35,0.98,0.62,7.51
98,Super Mario Bros. 2,Nintendo,1988,28,Platform,NES,1983,5,1995,21,12,5.39,1.18,0.7,0.19,7.46
99,Call of Duty: Black Ops 3,Activision,2015,1,Shooter,XOne,2013,2,2016,0,3,4.59,2.11,0.01,0.68,7.39
100,Call of Duty: World at War,Activision,2008,8,Shooter,X360,2005,3,2016,0,11,4.81,1.88,0.0,0.69,7.38
101,Battlefield 3,Electronic Arts,2011,5,Shooter,X360,2005,6,2016,0,11,4.46,2.11,0.06,0.69,7.32
102,Need for Speed Underground,Electronic Arts,2003,13,Racing,PS2,2000,3,2013,3,13,3.27,2.83,0.08,1.02,7.2
103,Just Dance,Ubisoft,2009,7,Misc,Wii,2006,3,2016,0,10,3.48,2.99,0.0,0.73,7.2
104,Battlefield 3,Electronic Arts,2011,5,Shooter,PS3,2006,5,2016,0,10,2.85,2.89,0.35,1.08,7.17
105,Fallout 4,Other,2015,1,Role-Playing,PS4,2013,2,2016,0,3,2.53,3.27,0.24,1.13,7.16
106,Tekken 3,Sony Computer Entertainment,1998,18,Fighting,PS,1994,4,2000,16,6,3.27,2.22,1.4,0.29,7.16
107,The Legend of Zelda: Twilight Princess,Nintendo,2006,10,Action,Wii,2006,0,2016,0,10,3.74,2.14,0.6,0.68,7.15
108,Pokemon Sun/Moon,Nintendo,2016,0,Role-Playing,3DS,2011,5,2016,0,5,2.98,1.45,2.26,0.45,7.14
109,Crash Bandicoot 3: Warped,Sony Computer Entertainment,1998,18,Platform,PS,1994,4,2000,16,6,3.68,1.75,1.42,0.28,7.13
110,Mario Kart 8,Nintendo,2014,2,Racing,WiiU,2012,2,2016,0,4,3.15,2.15,1.28,0.51,7.09
111,Super Smash Bros. Melee,Nintendo,2001,15,Fighting,GC,2001,0,2007,9,6,4.41,1.04,1.39,0.22,7.07
112,Mario Kart: Double Dash!!,Nintendo,2003,13,Racing,GC,2001,2,2007,9,6,4.12,1.77,0.87,0.19,6.95
113,Need for Speed Underground 2,Electronic Arts,2004,12,Racing,PS2,2000,4,2013,3,13,2.71,3.02,0.08,1.09,6.9
114,Medal of Honor: Frontline,Electronic Arts,2002,14,Shooter,PS2,2000,2,2013,3,13,2.93,2.75,0.17,0.99,6.83
115,Crash Bandicoot,Sony Computer Entertainment,1996,20,Platform,PS,1994,2,2000,16,6,3.23,2.35,0.94,0.3,6.82
116,Just Dance 4,Ubisoft,2012,4,Misc,Wii,2006,6,2016,0,10,4.05,2.16,0.0,0.55,6.76
117,Gears of War 2,Microsoft Game Studios,2008,8,Shooter,X360,2005,3,2016,0,11,4.15,1.9,0.06,0.64,6.75
118,Uncharted 3: Drake's Deception,Sony Computer Entertainment,2011,5,Action,PS3,2006,5,2016,0,10,2.77,2.75,0.19,1.03,6.74
119,Zumba Fitness,505 Games,2010,6,Sports,Wii,2006,4,2016,0,10,3.45,2.59,0.0,0.66,6.71
120,Call of Duty 4: Modern Warfare,Activision,2007,9,Shooter,PS3,2006,1,2016,0,10,3.11,2.26,0.28,1.03,6.68
121,Uncharted 2: Among Thieves,Sony Computer Entertainment,2009,7,Action,PS3,2006,3,2016,0,10,3.27,2.2,0.21,0.98,6.66
122,FIFA 12,Electronic Arts,2011,5,Sports,PS3,2006,5,2016,0,10,0.84,4.3,0.11,1.39,6.65
123,Big Brain Academy,Nintendo,2005,11,Misc,DS,2004,1,2013,3,9,1.66,2.75,1.6,0.62,6.62
124,The Legend of Zelda,Nintendo,1986,30,Action,NES,1983,3,1995,21,12,3.74,0.93,1.69,0.14,6.51
125,Red Dead Redemption,Take-Two Interactive,2010,6,Action,PS3,2006,4,2016,0,10,2.79,2.53,0.17,0.99,6.49
126,FIFA 14,Electronic Arts,2013,3,Sports,PS3,2006,7,2016,0,10,0.78,4.24,0.07,1.37,6.47
127,Assassin's Creed III,Ubisoft,2012,4,Action,PS3,2006,6,2016,0,10,2.64,2.52,0.16,1.12,6.45
128,Donkey Kong Country Returns,Nintendo,2010,6,Platform,Wii,2006,4,2016,0,10,3.17,1.79,1.03,0.46,6.44
129,Halo: Combat Evolved,Microsoft Game Studios,2001,15,Shooter,XB,2001,0,2009,7,8,4.98,1.3,0.08,0.07,6.43
130,The Elder Scrolls V: Skyrim,Other,2011,5,Role-Playing,PS3,2006,5,2016,0,10,2.55,2.6,0.25,1.0,6.41
131,Pokémon Emerald Version,Nintendo,2004,12,Role-Playing,GBA,2001,3,2010,6,9,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,Sony Computer Entertainment,2002,14,Role-Playing,PS2,2000,2,2013,3,13,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,Nintendo,2000,16,Role-Playing,GB,1989,11,2003,13,14,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,Microsoft Game Studios,2009,7,Shooter,X360,2005,4,2016,0,11,4.34,1.34,0.06,0.61,6.34
135,Red Dead Redemption,Take-Two Interactive,2010,6,Action,X360,2005,5,2016,0,11,3.7,1.95,0.09,0.58,6.32
136,Super Mario Sunshine,Nintendo,2002,14,Platform,GC,2001,1,2007,9,6,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,Capcom,1992,24,Fighting,SNES,1990,2,2003,13,13,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,Activision,2004,12,Role-Playing,PC,1977,27,2016,0,39,0.08,6.21,0.0,0.0,6.29
139,Driver,Other,1999,17,Action,PS,1994,5,2000,16,6,3.11,2.8,0.02,0.33,6.27
140,Gears of War 3,Microsoft Game Studios,2011,5,Shooter,X360,2005,6,2016,0,11,4.05,1.59,0.07,0.5,6.21
141,Kinect Sports,Microsoft Game Studios,2010,6,Sports,X360,2005,5,2016,0,11,3.92,1.73,0.03,0.51,6.19
142,Gears of War,Microsoft Game Studios,2006,10,Shooter,X360,2005,1,2016,0,11,3.54,1.88,0.07,0.6,6.09
143,FIFA 15,Electronic Arts,2014,2,Sports,PS4,2013,1,2016,0,3,0.8,4.33,0.05,0.9,6.08
144,Metal Gear Solid 2: Sons of Liberty,Konami Digital Entertainment,2001,15,Action,PS2,2000,1,2013,3,13,2.45,2.01,0.87,0.72,6.05
145,Sonic the Hedgehog 2,Sega,1992,24,Platform,GEN,1988,4,1997,19,9,4.47,1.2,0.16,0.19,6.03
146,Metal Gear Solid,Konami Digital Entertainment,1998,18,Action,PS,1994,4,2000,16,6,3.18,1.83,0.78,0.24,6.03
147,Metal Gear Solid 4: Guns of the Patriots,Konami Digital Entertainment,2008,8,Action,PS3,2006,2,2016,0,10,2.63,1.71,0.83,0.82,5.99
148,Final Fantasy XII,Square Enix,2006,10,Role-Playing,PS2,2000,6,2013,3,13,1.88,0.0,2.33,1.74,5.95
149,The Last of Us,Other,2013,3,Action,PS3,2006,7,2016,0,10,2.41,2.18,0.28,0.99,5.87
150,LittleBigPlanet,Sony Computer Entertainment,2008,8,Platform,PS3,2006,2,2016,0,10,2.8,1.98,0.17,0.87,5.82
151,Resident Evil 2,Other,1998,18,Action,PS,1994,4,2000,16,6,1.88,1.47,2.02,0.45,5.82
152,Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,2009,7,Role-Playing,DS,2004,5,2013,3,9,0.63,0.67,4.35,0.15,5.78
153,Tekken 2,Sony Computer Entertainment,1996,20,Fighting,PS,1994,2,2000,16,6,2.26,1.89,1.36,0.23,5.74
154,Destiny,Activision,2014,2,Shooter,PS4,2013,1,2016,0,3,2.49,2.07,0.16,0.92,5.64
155,LEGO Star Wars: The Complete Saga,Other,2007,9,Action,Wii,2006,1,2016,0,10,3.57,1.55,0.0,0.51,5.64
156,Cooking Mama,505 Games,2006,10,Simulation,DS,2004,2,2013,3,9,3.07,1.91,0.07,0.57,5.63
157,Tetris,Nintendo,1988,28,Puzzle,NES,1983,5,1995,21,12,2.97,0.69,1.81,0.11,5.58
158,Super Smash Bros.,Nintendo,1999,17,Fighting,N64,1996,3,2002,14,6,2.95,0.6,1.97,0.04,5.55
159,Assassin's Creed II,Ubisoft,2009,7,Action,PS3,2006,3,2016,0,10,2.54,1.93,0.21,0.86,5.55
160,Assassin's Creed,Ubisoft,2007,9,Adventure,X360,2005,2,2016,0,11,3.28,1.64,0.07,0.56,5.54
161,Forza Motorsport 3,Microsoft Game Studios,2009,7,Racing,X360,2005,4,2016,0,11,2.99,1.9,0.1,0.5,5.49
162,Super Mario Advance,Nintendo,2001,15,Platform,GBA,2001,0,2010,6,9,3.14,1.24,0.91,0.2,5.49
163,Monster Hunter Freedom Unite,Capcom,2008,8,Role-Playing,PSP,2004,4,2014,2,10,0.47,0.55,4.13,0.34,5.48
164,Batman: Arkham City,Warner Bros. Interactive Entertainment,2011,5,Action,PS3,2006,5,2016,0,10,2.71,1.85,0.11,0.81,5.48
165,Grand Theft Auto V,Take-Two Interactive,2014,2,Action,XOne,2013,1,2016,0,3,2.81,2.19,0.0,0.47,5.48
166,Mario Kart: Super Circuit,Nintendo,2001,15,Racing,GBA,2001,0,2010,6,9,2.62,1.64,0.99,0.23,5.47
167,Super Mario World,Nintendo,2001,15,Platform,GBA,2001,0,2010,6,9,3.21,1.11,0.95,0.2,5.46
168,Pokemon Stadium,Nintendo,1999,17,Strategy,N64,1996,3,2002,14,6,3.18,1.24,0.94,0.09,5.45
169,Crash Bandicoot: The Wrath of Cortex,Other,2001,15,Platform,PS2,2000,1,2013,3,13,2.07,2.29,0.24,0.82,5.42
170,Call of Duty: World at War,Activision,2008,8,Shooter,PS3,2006,2,2016,0,10,2.73,1.83,0.0,0.83,5.39
171,Uncharted 4: A Thief's End,Sony Computer Entertainment,2016,0,Shooter,PS4,2013,3,2016,0,3,1.85,2.5,0.19,0.85,5.38
172,Dr. Mario,Nintendo,1989,27,Puzzle,GB,1989,0,2003,13,14,2.18,0.96,2.0,0.2,5.34
173,Final Fantasy XIII,Square Enix,2009,7,Role-Playing,PS3,2006,3,2016,0,10,1.74,1.21,1.87,0.51,5.33
174,Pokemon Pinball,Nintendo,1999,17,Misc,GB,1989,10,2003,13,14,3.02,1.12,1.01,0.16,5.31
175,Final Fantasy IX,Other,2000,16,Role-Playing,PS,1994,6,2000,16,6,1.62,0.77,2.78,0.14,5.3
176,Assassin's Creed III,Ubisoft,2012,4,Action,X360,2005,7,2016,0,11,3.13,1.69,0.03,0.44,5.29
177,Final Fantasy X-2,Electronic Arts,2003,13,Role-Playing,PS2,2000,3,2013,3,13,1.92,1.08,2.11,0.17,5.29
178,Donkey Kong 64,Nintendo,1999,17,Platform,N64,1996,3,2002,14,6,3.33,0.79,1.09,0.06,5.27
179,Call of Duty: Advanced Warfare,Activision,2014,2,Shooter,XOne,2013,1,2016,0,3,3.22,1.55,0.01,0.48,5.27
180,Minecraft,Sony Computer Entertainment,2014,2,Misc,PS3,2006,8,2016,0,10,2.03,2.37,0.0,0.87,5.26
181,Assassin's Creed II,Ubisoft,2009,7,Action,X360,2005,4,2016,0,11,3.11,1.55,0.08,0.51,5.26
182,Tomb Raider II,Eidos Interactive,1997,19,Action,PS,1994,3,2000,16,6,2.3,2.46,0.2,0.28,5.24
183,Tomodachi Life,Nintendo,2013,3,Simulation,3DS,2011,2,2016,0,5,0.97,2.11,1.9,0.24,5.23
184,New Super Mario Bros. U,Nintendo,2012,4,Platform,WiiU,2012,0,2016,0,4,2.3,1.34,1.27,0.32,5.22
185,Dragon Quest VIII: Journey of the Cursed King,Square Enix,2004,12,Role-Playing,PS2,2000,4,2013,3,13,0.65,0.75,3.61,0.2,5.21
186,Super Mario Bros. 3,Nintendo,2003,13,Platform,GBA,2001,2,2010,6,9,2.93,1.25,0.83,0.2,5.2
187,Professor Layton and the Curious Village,Nintendo,2007,9,Puzzle,DS,2004,3,2013,3,9,1.21,2.43,1.03,0.52,5.19
188,Super Mario Land 3: Wario Land,Nintendo,1994,22,Platform,GB,1989,5,2003,13,14,2.49,0.98,1.57,0.15,5.19
189,FIFA Soccer 13,Electronic Arts,2012,4,Action,X360,2005,7,2016,0,11,1.09,3.47,0.03,0.57,5.16
190,Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,1995,21,Platform,SNES,1990,5,2003,13,13,2.1,0.74,2.2,0.11,5.15
191,Diablo III,Activision,2012,4,Role-Playing,PC,1977,35,2016,0,39,2.44,2.16,0.0,0.54,5.14
192,Medal of Honor: Rising Sun,Electronic Arts,2003,13,Shooter,PS2,2000,3,2013,3,13,1.98,2.23,0.13,0.8,5.13
193,Kirby's Dream Land,Nintendo,1992,24,Platform,GB,1989,3,2003,13,14,2.71,0.61,1.7,0.11,5.13
194,Microsoft Flight Simulator,Microsoft Game Studios,1996,20,Simulation,PC,1977,19,2016,0,39,3.22,1.69,0.0,0.2,5.12
195,Guitar Hero II,Other,2006,10,Misc,PS2,2000,6,2013,3,13,3.81,0.63,0.0,0.68,5.12
196,Fable III,Microsoft Game Studios,2010,6,Role-Playing,X360,2005,5,2016,0,11,3.59,1.08,0.05,0.38,5.1
197,Mario & Sonic at the Olympic Games,Sega,2008,8,Sports,DS,2004,4,2013,3,9,1.63,2.45,0.44,0.57,5.09
198,Resident Evil 5,Capcom,2009,7,Action,PS3,2006,3,2016,0,10,1.96,1.41,1.08,0.64,5.09
199,The Legend of Zelda: Phantom Hourglass,Nintendo,2007,9,Action,DS,2004,3,2013,3,9,1.85,1.8,0.95,0.48,5.08
200,Super Mario Bros.,Nintendo,1999,17,Platform,GB,1989,10,2003,13,14,3.4,1.3,0.15,0.22,5.07
201,FIFA Soccer 11,Electronic Arts,2010,6,Sports,PS3,2006,4,2016,0,10,0.61,3.28,0.06,1.12,5.07
202,Resident Evil,Other,1996,20,Action,PS,1994,2,2000,16,6,2.05,1.16,1.11,0.73,5.05
203,Grand Theft Auto: Vice City Stories,Take-Two Interactive,2006,10,Action,PSP,2004,2,2014,2,10,1.7,1.99,0.16,1.18,5.03
204,Tony Hawk's Pro Skater,Activision,1999,17,Sports,PS,1994,5,2000,16,6,3.42,1.38,0.02,0.2,5.02
205,Warzone 2100,Eidos Interactive,1999,17,Strategy,PS,1994,5,2000,16,6,2.79,1.89,0.0,0.33,5.01
206,Spyro the Dragon,Sony Computer Entertainment,1998,18,Platform,PS,1994,4,2000,16,6,3.36,1.36,0.07,0.21,5.0
207,Guitar Hero III: Legends of Rock,Activision,2007,9,Misc,PS2,2000,7,2013,3,13,3.49,0.01,0.01,1.48,4.98
208,Link's Crossbow Training,Nintendo,2007,9,Shooter,Wii,2006,1,2016,0,10,3.05,1.17,0.29,0.46,4.98
